"Notes"	"Residence State"	"Residence State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jan., 2022"	"2022/01"	6808	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2022"	"2022/02"	6071	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2022"	"2022/03"	5121	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2022"	"2022/04"	4609	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2022"	"2022/05"	4691	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2022"	"2022/06"	4727	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2022"	"2022/07"	4963	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2022"	"2022/08"	4892	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2022"	"2022/09"	4814	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2022"	"2022/10"	5194	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2022"	"2022/11"	5003	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2022"	"2022/12"	5401	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2023"	"2023/01"	5522	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2023"	"2023/02"	4867	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2023"	"2023/03"	5079	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2023"	"2023/04"	4732	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2023"	"2023/05"	5004	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2023"	"2023/06"	4521	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2023"	"2023/07"	4852	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2023"	"2023/08"	4913	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2023"	"2023/09"	4658	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2023"	"2023/10"	4755	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2023"	"2023/11"	4781	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2023"	"2023/12"	5553	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2024 (provisional)"	"2024/01"	5815	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2024 (provisional)"	"2024/02"	4840	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2024 (provisional)"	"2024/03"	4975	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2024 (provisional)"	"2024/04"	4833	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2024 (provisional)"	"2024/05"	4687	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2024 (provisional)"	"2024/06"	4639	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2024 (provisional)"	"2024/07"	4728	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2024 (provisional)"	"2024/08"	4879	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2024 (provisional)"	"2024/09"	4705	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2024 (provisional)"	"2024/10"	4768	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2024 (provisional)"	"2024/11"	4523	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2024 (provisional)"	"2024/12"	5247	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"			180170	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2022"	"2022/01"	551	Not Applicable	Not Applicable
