"Wave","Start Date","End Date","Number of Days Fielded","Days Since Last Wave Ended"
34,"2021-07-21","2021-08-02","12",NA
35,"2021-08-04","2021-08-16","12","2"
36,"2021-08-18","2021-08-30","12","2"
37,"2021-09-01","2021-09-13","12","2"
38,"2021-09-15","2021-09-27","12","2"
39,"2021-09-29","2021-10-11","12","2"
40,"2021-12-01","2021-12-13","12","51"
41,"2021-12-29","2022-01-10","12","16"
42,"2022-01-26","2022-02-07","12","16"
43,"2022-03-02","2022-03-14","12","23"
44,"2022-03-30","2022-04-11","12","16"
45,"2022-04-27","2022-05-09","12","16"
46,"2022-06-01","2022-06-13","12","23"
47,"2022-06-29","2022-07-11","12","16"
48,"2022-07-27","2022-08-08","12","16"
49,"2022-09-14","2022-09-28","14","37"
50,"2022-10-05","2022-10-17","12","7"
51,"2022-11-02","2022-11-14","12","16"
52,"2022-12-09","2022-12-19","10","25"
53,"2023-01-04","2023-01-16","12","16"
54,"2023-02-01","2023-02-13","12","16"
55,"2023-03-01","2023-03-13","12","16"
56,"2023-03-29","2023-04-10","12","16"
57,"2023-04-26","2023-05-08","12","16"
58,"2023-06-07","2023-06-19","12","30"
59,"2023-06-28","2023-07-10","12","9"
60,"2023-07-26","2023-08-07","12","16"
61,"2023-08-23","2023-09-04","12","16"
62,"2023-09-20","2023-10-02","12","16"
63,"2023-10-18","2023-10-30","12","16"
1,"2024-01-09","2024-02-05","27","71"
2,"2024-02-06","2024-03-04","27","1"
3,"2024-03-05","2024-04-01","27","1"
4,"2024-04-02","2024-04-29","27","1"
5,"2024-04-30","2024-05-27","27","1"
6,"2024-05-28","2024-06-24","27","1"
7,"2024-06-25","2024-07-22","27","1"
8,"2024-07-23","2024-08-19","27","1"
9,"2024-08-20","2024-09-16","27","1"
