Analysis,Bathroom,,Medical,,Sports,,First Overall,
Group,Control,Treated,Control,Treated,Control,Treated,Control,Treated
Age,,,,,,,,
Mean (years),43.91,45.09,43.41,44.64,42.89,43.94,42.89,43.98
Standard Deviation (years),15.78,18.71,15.52,18.47,15.36,18.20,15.34,18.26
% Female (at birth),0.60,0.60,0.60,0.61,0.61,0.60,0.61,0.60
% with a College Degree,0.62,0.54,0.61,0.53,0.61,0.54,0.61,0.54
Race,,,,,,,,
% Non-Hispanic White,0.75,0.68,0.74,0.68,0.75,0.68,0.74,0.68
% Non-Hispanic Black,0.06,0.08,0.06,0.09,0.05,0.07,0.06,0.08
"% Other, not Hispanic",0.08,0.10,0.08,0.10,0.09,0.11,0.09,0.11
% Hispanic,0.11,0.13,0.12,0.14,0.11,0.13,0.11,0.13
PHQ-4 Score (mean),4.83,5.29,4.83,5.39,4.85,5.42,4.84,5.44
n,21503,3808,53032,9582,42911,7907,46104,8465
