Law,First Law Overall,,,,First Bathroom Law,,,
Treatment Time,Pre,,Post,,Pre,,Post,
Group,Cis Queer,Trans,Cis Queer,Trans,Cis Queer,Trans,Cis Queer,Trans
n,23035,4310,22781,4155,14716,2569,6658,1239
PHQ-4 Mean,5.3,6.1,5.3,6.4,5.2,5.9,5.4,6.2
PHQ-4 SD,3.9,4.3,3.9,4.1,3.9,4.3,3.9,4.2
Age Mean,37.8,41.2,37.0,38.7,39.4,40.9,38.0,39.0
Age SD,15.5,18.6,15.1,17.8,16.0,19.0,15.0,17.9
Proportion Non-Hispanic White,0.64,0.57,0.56,0.54,0.64,0.59,0.64,0.62
Proportion with a College Degree,0.39,0.30,0.37,0.31,0.41,0.30,0.39,0.32
Proportion Assigned Female at Birth,0.57,0.53,0.56,0.54,0.56,0.53,0.57,0.58
Law,First Sports Law,,,,First Medical Care Law,,,
Treatment Time,Pre,,Post,,Pre,,Post,
Group,Cis Queer,Trans,Cis Queer,Trans,Cis Queer,Trans,Cis Queer,Trans
n,21151,3964,21493,3943,36188,6543,16536,3039
PHQ-4 Mean,5.4,5.9,5.3,6.4,5.3,6.2,5.2,6.0
PHQ-4 SD,3.9,4.3,3.9,4.1,3.9,4.3,3.8,4.2
Age Mean,37.9,41.7,37.0,38.7,38.2,41.0,37.9,39.2
Age SD,15.5,18.5,15.1,17.8,15.6,18.7,15.2,17.8
Proportion Non-Hispanic White,0.67,0.59,0.57,0.54,0.61,0.55,0.60,0.58
Proportion with a College Degree,0.40,0.31,0.37,0.31,0.38,0.28,0.38,0.33
Proportion Assigned Female at Birth,0.58,0.55,0.56,0.54,0.56,0.55,0.56,0.53
